endereco_tse,cep,Logradouro,Tipo Logradouro,id_bairro
"RUA ANA NOGUEIRA LOPES, 305",62880000,RUA ANA NOGUEIRA LOPES,RUA,95
"RUA GOV. PARIGOT DE SOUZA, 231 - FORUM ELEITORAL",86015650,RUA GOV. PARIGOT DE SOUZA,RUA,1
"RUA ARLINDO VICENTE, 221",29670000,RUA ARLINDO VICENTE,RUA,38
"RUA PREFEITO NESTOR EUSTAQUIO, 237",37120000,RUA PREFEITO NESTOR EUSTAQUIO,RUA,59
"RUA CARIRI AÇU, 32",7180250,RUA CARIRI AÇU,RUA,24
"RUA DOM CLIMÉRIO, N. 111, CENTRO,  BARRA DO CHOÇA-FÓRUM BARRA DO CHOÇA",45120000,RUA DOM CLIMÉRIO,RUA,97
"RUA CAPITÃO PROCÓPIO MARCONDES AZEREDO, 43 - FÓRUM",12490000,RUA CAPITÃO PROCÓPIO MARCONDES AZEREDO,RUA,45
"RUA VALDEMAR IZIDIO LIMA, S/N",59770000,RUA VALDEMAR IZIDIO LIMA,RUA,67
"RUA DESEMBARGADOR MONTENEGRO, S/N",47100000,RUA DESEMBARGADOR MONTENEGRO,RUA,96
"RUA ERNESTO ALVES, 760",96810144,RUA ERNESTO ALVES,RUA,96
"RUA 02 DE FEVEREIRO, SN",68480000,RUA 02 DE FEVEREIRO,RUA,15
"RUA MIRALDO PEDRO ZIBETTI, 185 - FORUM ELEITORAL",85903160,RUA MIRALDO PEDRO ZIBETTI,RUA,72
RUA GETULIO 127,20775000,RUA GETULIO 127,RUA,41
"RUA XV DE NOVEMBRO, 563",96508751,RUA XV DE NOVEMBRO,RUA,32
"RUA BERNARDINO CARVALHAIS, 179",39170000,RUA BERNARDINO CARVALHAIS,RUA,89
"CONJUNTO 11 HC, RUA 11, ÁREA ESPECIAL, EDIFÍCIO DO FÓRUM",72860209,CONJUNTO 11 HC,CONJUNTO,58
"PRAÇA CANTIDO PIRES MACIEL,88 -FORUM DES.MANUEL PEREIRA",44940000,PRAÇA CANTIDO PIRES MACIEL,PRAÇA,7
"RUA MAJOR PINHEIRO FRANCO, 17",8710220,RUA MAJOR PINHEIRO FRANCO,RUA,71
"RUA 25 DE JULHO, 343",96950000,RUA 25 DE JULHO,RUA,22
"RUA DOS VIANAS, 556",9760000,RUA DOS VIANAS,RUA,48
"RUA CLODOALDO GOMES DA COSTA, S/N - FÓRUM ELEITORAL",44380000,RUA CLODOALDO GOMES DA COSTA,RUA,16
"RUA ALAGOAS, SN ESQ. COM AV GOIÁS - 8H AS 15H",68580000,RUA ALAGOAS,RUA,92
"RUA ITACIL MARTINS, 405",87340000,RUA ITACIL MARTINS,RUA,7
"RUA ANTONINA, S/N - ESQUINA COM R. WALDIR MÜLLER",83260000,RUA ANTONINA,RUA,13
"PRAÇA SÃO SEBASTIÃO, 1020",62250000,PRAÇA SÃO SEBASTIÃO,PRAÇA,99
"TRAVESSA AGOSTINHO BRASIL, 855, DAS 8H ÀS 13H",68665000,TRAVESSA AGOSTINHO BRASIL,TRAVESSA,89
"PRAÇA ALBERTINO BARAUNA, S/N, 8HAS 14H",68890000,PRAÇA ALBERTINO BARAUNA,PRAÇA,62
"RUA SOFIA LOURES FELIPE, 10",37775000,RUA SOFIA LOURES FELIPE,RUA,96
"RUA FRANCISCO RIBEIRO JÚNIOR (BEIRA RIO), 130",45600100,RUA FRANCISCO RIBEIRO JÚNIOR (BEIRA RIO),RUA,32
RUA 10 QD W LT 06/09,74981100,RUA 10 QD W LT 06/09,RUA,19
"RUA FRANCISCO VIEIRA DE REZENDE, 190",29470000,RUA FRANCISCO VIEIRA DE REZENDE,RUA,37
"RUA DOS RODOVIÁRIOS, N 20",75190000,RUA DOS RODOVIÁRIOS,RUA,51
"RUA LAFAYETE SPÍNOLA DE CASTRO, 1463 - 1 ANDAR",15025510,RUA LAFAYETE SPÍNOLA DE CASTRO,RUA,60
"RUA CORONEL BERNARDINO DE MELO, 2585 - PRX. À  PÇA. DO SKATE.",26255140,RUA CORONEL BERNARDINO DE MELO,RUA,18
RUA CORONEL CÍCERO NOGUEIRA 363,62870000,RUA CORONEL CÍCERO NOGUEIRA 363,RUA,21
"RUA WALDEMIR HERINGER DA SILVA, 600, SALA 07",28860000,RUA WALDEMIR HERINGER DA SILVA,RUA,76
"RUA S, S/N - LOTEAMENTO ARATU",47800000,RUA S,RUA,100
"RUA BENJAMIN CONSTANT, 972",89890000,RUA BENJAMIN CONSTANT,RUA,95
"RUA CEL FRANCISCO CAVALCANTE, 51",57240000,RUA CEL FRANCISCO CAVALCANTE,RUA,69
"RUA MONSENHOR KOLLY,   190",12900400,RUA MONSENHOR KOLLY,RUA,66
"RUA BARÃO DO RIO BRANCO, 294.",39830000,RUA BARÃO DO RIO BRANCO,RUA,5
RUA FERNÃO DIAS S/N,21615280,RUA FERNÃO DIAS S/N,RUA,54
"RUA TEODORO FERREIRA, S/N, FÓRUM DES. CARLOS CESAR DE BERREDO MARTINS",65350000,RUA TEODORO FERREIRA,RUA,3
RUA IPIRANGA QD 02 LT 18,75240000,RUA IPIRANGA QD 02 LT 18,RUA,23
RUA CORONEL CORREIA 1540,61600004,RUA CORONEL CORREIA 1540,RUA,86
"RUA WALTER SPINDOLA, 643, CENTRO",64240000,RUA WALTER SPINDOLA,RUA,51
"RUA ARTUR BERNARDES, 12",38550000,RUA ARTUR BERNARDES,RUA,68
"RUA INES SOARES, S/N - 8H AS 13H",68485000,RUA INES SOARES,RUA,10
"RUA PRINCESA ISABEL, ESQ. RUA CAMPOS SALES - FÓRUM ELEITORAL",87910000,RUA PRINCESA ISABEL,RUA,51
"RUA DR. DJALMA MARQUES, S/N. FÓRUM",65213000,RUA DR. DJALMA MARQUES,RUA,82
"RUA SILVA JARDIM, 46, EDIFÍCIO DO FÓRUM",28820000,RUA SILVA JARDIM,RUA,28
"RUA JOSÉ ROBALINHO DA SILVA, 235",79500000,RUA JOSÉ ROBALINHO DA SILVA,RUA,66
"RUA TIRADENTES, S/N",65922000,RUA TIRADENTES,RUA,71
"RUA TICO TICO, 1001",86707020,RUA TICO TICO,RUA,42
"RUA SANTA MADALENA, N. 65, CENTRO",12900440,RUA SANTA MADALENA,RUA,67
"RUA DR. BASILIO FURTADO, 70 - SALAS 12/13/14 - CENTRO",36150000,RUA DR. BASILIO FURTADO,RUA,83
"RUA JOAQUIM RODRIGUES DE MACEDO, 61",64680000,RUA JOAQUIM RODRIGUES DE MACEDO,RUA,44
"RUA PEDRO ÁLVARES CABRAL, N. 305, SALA 110, NILÓPOLIS",26525051,RUA PEDRO ÁLVARES CABRAL,RUA,99
"RUA DR. MANOEL JOAQUIM, S/N",62150000,RUA DR. MANOEL JOAQUIM,RUA,32
"ESTRADA ITAQUERA-GUAIANASES, 2120",8420000,ESTRADA ITAQUERA-GUAIANASES,ESTRADA,97
"RUA RICARDO RODRIGUES, 550 - 8H ÀS 13H",68748000,RUA RICARDO RODRIGUES,RUA,23
"RUA SANTANA DO IAPÓ, N 330",29215020,RUA SANTANA DO IAPÓ,RUA,36
TRAVESSA DA LIBERDADE-S/N,65800000,TRAVESSA DA LIBERDADE-S/N,TRAVESSA,53
"RUA JACQUES RIBAS, 46",39970000,RUA JACQUES RIBAS,RUA,64
"RUA CAP. JOSÉ ALFAIATE, 215, FÓRUM DES. JOAQUIM LARANJEIRA",47640000,RUA CAP. JOSÉ ALFAIATE,RUA,76
"PRAÇA QUATORZE DE AGOSTO, S/N",48470000,PRAÇA QUATORZE DE AGOSTO,PRAÇA,59
"RUA XANGAI, N. 198",87160000,RUA XANGAI,RUA,8
"RUA BARÃO DO RIO BRANCO, 401",13320270,RUA BARÃO DO RIO BRANCO,RUA,29
"PRAÇA BENEDITO VALADARES, 64",35560000,PRAÇA BENEDITO VALADARES,PRAÇA,99
"RUA URUGUAI, 51",26130525,RUA URUGUAI,RUA,65
"RUA DOM AURELIANO MATOS, 1758",62600000,RUA DOM AURELIANO MATOS,RUA,3
"RUA DR. RENATO AZEREDO, 569",35700312,RUA DR. RENATO AZEREDO,RUA,8
"RUA VIRGILIO DE ARAÚJO SILVA, SN",58765000,RUA VIRGILIO DE ARAÚJO SILVA,RUA,25
"PRAÇA TANCREDO NEVES, 150",44255000,PRAÇA TANCREDO NEVES,PRAÇA,30
"RUA JOAO PAROLIN, 55",80220290,RUA JOAO PAROLIN,RUA,75
RUA SILVA CARDOSO 349 SL 13 - XVII R.A.,21810030,RUA SILVA CARDOSO 349 SL 13 - XVII R.A.,RUA,1
"RUA MANOEL NUNES DE SOUZA, 510",12380000,RUA MANOEL NUNES DE SOUZA,RUA,31
"RUA EDUARDO VIEIRA DE SOUZA, 112",24445410,RUA EDUARDO VIEIRA DE SOUZA,RUA,17
"RUA CAPITÃO MIRANDA, 57",13900030,RUA CAPITÃO MIRANDA,RUA,38
"RUA NESTOR VIEIRA, N. 127",36980000,RUA NESTOR VIEIRA,RUA,18
"RUA CARLOS GOMES, 613",14640000,RUA CARLOS GOMES,RUA,77
"RUA WALTER HUBACHER, 1220",79750000,RUA WALTER HUBACHER,RUA,65
"PRAÇA JAIRO MOREIRA ALMEIDA,S/N, FORUM DA COMARCA DE MUNDO NOVO",44800000,PRAÇA JAIRO MOREIRA ALMEIDA,PRAÇA,55
"RUA 25 DE AGOSTO,S/N",56700000,RUA 25 DE AGOSTO,RUA,24
"TRAVESSA RUI BARBOSA, 171",68700000,TRAVESSA RUI BARBOSA,TRAVESSA,82
"RUA FRANCOLINO GONÇALVES DOS SANTOS, 85",45630000,RUA FRANCOLINO GONÇALVES DOS SANTOS,RUA,34
"RUA PEREIRA CARNEIRO, 129-A",59500000,RUA PEREIRA CARNEIRO,RUA,62
RUA PEDRO ÁLVARES CABRAL 305,26525051,RUA PEDRO ÁLVARES CABRAL 305,RUA,98
"RUA DOUTOR LOBO FILHO, 155",36770006,RUA DOUTOR LOBO FILHO,RUA,56
"RUA MANOEL FRANKLIN, 105 - CENTRO.",55670000,RUA MANOEL FRANKLIN,RUA,22
"RUA TIRADENTES,  627",13480082,RUA TIRADENTES,RUA,51
"RUA MARIA APARECIDA MARTINS PRADO, 8",35180056,RUA MARIA APARECIDA MARTINS PRADO,RUA,11
"RUA MARECHAL FLORIANO PEIXOTO, 656, CENTRO",48601210,RUA MARECHAL FLORIANO PEIXOTO,RUA,63
"TRAVESSA PIRAJÁ, S/N - 8H AS 13H / CEP-66087-490,",66087490,TRAVESSA PIRAJÁ,TRAVESSA,73
"RUA MINISTRO GABRIEL PASSOS, 255",36307330,RUA MINISTRO GABRIEL PASSOS,RUA,55
"RUA DEOLINDO FERREIRA DINIZ, 68, CENTRAL PARK",32400000,RUA DEOLINDO FERREIRA DINIZ,RUA,92
"RUA ALFREDO CAMÕES DE ARAÚJO, QD. 01, LT. 12",76700000,RUA ALFREDO CAMÕES DE ARAÚJO,RUA,55
"RUA CORONEL JOÃO VAZ, 04",75780000,RUA CORONEL JOÃO VAZ,RUA,40
"RUA RAIMUNDO DE CASTRO, 205 CENTRO",62750000,RUA RAIMUNDO DE CASTRO,RUA,73
"RUA MANOEL GOULART, 42 - LOJAS 01 E 02",28640000,RUA MANOEL GOULART,RUA,75
"RUA FRANCISCO MANOEL DINIZ, 706",98580000,RUA FRANCISCO MANOEL DINIZ,RUA,46
"RUA SIDÔNIO PAIS, 54, LOJA 5",21350032,RUA SIDÔNIO PAIS,RUA,89
RUA GETÚLIO 127,20775000,RUA GETÚLIO 127,RUA,80
RUA BENJAMIM CONSTANT N 68- CENTRO VITORINO FREIRE-MA.,65320000,RUA BENJAMIM CONSTANT N 68- CENTRO VITORINO FREIRE-MA.,RUA,4
"RUA JONAS CORREIA, 206",64220000,RUA JONAS CORREIA,RUA,38
"RUA INÁCIA VIEIRA, 608, TÉRREO",95200000,RUA INÁCIA VIEIRA,RUA,30
RUA MANOEL ANTÔNIO DE SOUZA 15 A - PRÓXIMO AO CERU,55640000,RUA MANOEL ANTÔNIO DE SOUZA 15 A - PRÓXIMO AO CERU,RUA,89
"RUA RAIMUNDO LEONARDI, 18 - CENTRO",99670000,RUA RAIMUNDO LEONARDI,RUA,94
"RUA DR. MANOEL DE ALMEIDA BELO, 1091",53030030,RUA DR. MANOEL DE ALMEIDA BELO,RUA,5
"RUA MARECHAL DEODORO DA FONSECA, NUMERO 01",57800000,RUA MARECHAL DEODORO DA FONSECA,RUA,72
RUA BENEDITO MASCARENHAS N 44,57130000,RUA BENEDITO MASCARENHAS N 44,RUA,68
RUA RIO CLARO - 1.619,76100000,RUA RIO CLARO - 1.619,RUA,73
RUA RUI BARBOSA N 750 Q35 L 16/17,47850000,RUA RUI BARBOSA N 750 Q35 L 16/17,RUA,46
"RUA GODOFREDO VIANA, 400",22730020,RUA GODOFREDO VIANA,RUA,83
"RODOVIA PROMOTOR VALDIR DE FREITAS DANTAS, S/N",49930000,RODOVIA PROMOTOR VALDIR DE FREITAS DANTAS,RODOVIA,80
"RUA MINISTRO GABRIEL PASSOS, 340",36307330,RUA MINISTRO GABRIEL PASSOS,RUA,54
"RUA FRANCISCO TEIXEIRA BARBOSA, QD. 14, LT. 01",75450000,RUA FRANCISCO TEIXEIRA BARBOSA,RUA,47
"RUA PRIMEIRO DE JUNHO, 423",48460000,RUA PRIMEIRO DE JUNHO,RUA,58
"RUA FRANCISCO PORTELA, N. 221 - CENTRO",27910200,RUA FRANCISCO PORTELA,RUA,89
"RUA ITAJÁ, QD 07 - PRÉDIO DO FÓRUM",75370000,RUA ITAJÁ,RUA,36
"ESTRADA DO CAMBOATÁ 2300, SALAS 201/203-GUADALUPE SHOPPING",21665001,ESTRADA DO CAMBOATÁ 2300,ESTRADA,64
"RUA VISCONDE DE MAUÁ, 565",19360000,RUA VISCONDE DE MAUÁ,RUA,36
"RODOVIA PB 055, KM 74",58255000,RODOVIA PB 055,RODOVIA,93
"RUA PEDRO ABÍLIO,  271 (ESQUINA COM A RUA PEDRO AMORIM)",59865000,RUA PEDRO ABÍLIO,RUA,82
"RUA PREFEITO BETO LIRA, S/N",62140000,RUA PREFEITO BETO LIRA,RUA,13
"ESTRADA DO BANANAL, 2336, LJS. 1 E 2",25946440,ESTRADA DO BANANAL,ESTRADA,80
"RUA BORGES DE MEDEIROS, 421",98300000,RUA BORGES DE MEDEIROS,RUA,81
"RUA BOULEVARD ALVARO MAIA, S/N, CENTRO",69670000,RUA BOULEVARD ALVARO MAIA,RUA,34
"RUA CORONEL SODRÉ, 512",29100080,RUA CORONEL SODRÉ,RUA,54
"RUA JOAO PAROLIN, 55",80220902,RUA JOAO PAROLIN,RUA,80
"RUA AUGUSTO DE LIMA, QD 06 LT 03 RESIDENCIAL VIRGINIA CORREA",75080050,RUA AUGUSTO DE LIMA,RUA,15
"RUA NOVE, 2147",15700018,RUA NOVE,RUA,42
RUA A QD 19 LT 02 ST AEROPORTO,76600000,RUA A QD 19 LT 02 ST AEROPORTO,RUA,37
"RUA CAP. VENÂNCIO AYRES, 514",18200013,RUA CAP. VENÂNCIO AYRES,RUA,31
"RUA ANTONIO BOMFIM, S/N",57670000,RUA ANTONIO BOMFIM,RUA,56
"RUA MANOEL DE OLIVEIRA FERNANDES, 20",36540000,RUA MANOEL DE OLIVEIRA FERNANDES,RUA,6
"RUA INTERVENTOR ERIVANO CRUZ, 75",63010010,RUA INTERVENTOR ERIVANO CRUZ,RUA,8
"RUA PADRE LEONEL FRANCA, N. 150",58489000,RUA PADRE LEONEL FRANCA,RUA,91
"RUA CRISTOVÃO GIRÃO, 132",3362030,RUA CRISTOVÃO GIRÃO,RUA,85
"RUA LÍBERO BADARÓ, 451",13186260,RUA LÍBERO BADARÓ,RUA,25
RUA ANICETO LIMA - S/N,49260000,RUA ANICETO LIMA - S/N,RUA,93
TRAVESSA NOSSA SENHORA DO CARMO N.280,65280000,TRAVESSA NOSSA SENHORA DO CARMO N.280,TRAVESSA,61
"RUA ANTONIO ALVES DE TOLEDO, 161",14700100,RUA ANTONIO ALVES DE TOLEDO,RUA,62
"RUA NEREU RAMOS, 2983, SALAS 10 E 11",89370000,RUA NEREU RAMOS,RUA,6
RUA JARDIM BOTANICO 1060,22460000,RUA JARDIM BOTANICO 1060,RUA,62
"RUA JOÃO CAETANO DE FARIA, 366",37280000,RUA JOÃO CAETANO DE FARIA,RUA,42
"RUA RAIMUNDO JOSÉ DA COSTA, S/N",68220000,RUA RAIMUNDO JOSÉ DA COSTA,RUA,2
"RUA ARNALDO FERREIRA LIMA, 383",16500000,RUA ARNALDO FERREIRA LIMA,RUA,71
RUA SENADOR LEMOS S/N,68950000,RUA SENADOR LEMOS S/N,RUA,28
"RUA CORONEL PONCE, 439",79280000,RUA CORONEL PONCE,RUA,69
"RUA JOSÉ TRIGO, 363",86960000,RUA JOSÉ TRIGO,RUA,49
"RUA ESPÍRITO SANTO, 2161 - FÓRUM ELEITORAL",85884000,RUA ESPÍRITO SANTO,RUA,14
"RUA NORBERTO BARACUHY, 258",58393000,RUA NORBERTO BARACUHY,RUA,28
"RODOVIA GO 154, KM 155, PERÍMETRO URBANO",76660000,RODOVIA GO 154,RODOVIA,43
"RUA CORONEL MACEDO, 400 - TÉRREO",12530000,RUA CORONEL MACEDO,RUA,97
"RUA JAIR SILVA GUIMARÃES ESQ. C/ JOAQUIM RODR. ALVES, QD. 3, LT. 1/10",75220000,RUA JAIR SILVA GUIMARÃES ESQ. C/ JOAQUIM RODR. ALVES,RUA,69
RUA DOUTOR DOMINGOS BELLIZZE 183,25900058,RUA DOUTOR DOMINGOS BELLIZZE 183,RUA,90
"RUA FLORIANO PEIXOTO, 160",69970000,RUA FLORIANO PEIXOTO,RUA,17
"RUA RUI BARBOSA, 830, TÉRREO",89990000,RUA RUI BARBOSA,RUA,11
"RUA EDUARDO RIBEIRO, 168",69280000,RUA EDUARDO RIBEIRO,RUA,44
"RUA AGENOR CHAVES FERREIRA, 405- EDIFÍCIO DO FÓRUM ELEITORAL",84450000,RUA AGENOR CHAVES FERREIRA,RUA,92
RUA CLARINDO AMORIM,57570000,RUA CLARINDO AMORIM,RUA,46
"RUA VEREADOR SILVINO CORDEIRO DE SIQUEIRA, S/N",56912110,RUA VEREADOR SILVINO CORDEIRO DE SIQUEIRA,RUA,27
RUA BENEDITO MOREIRA DA SILVA - QD 02 - N. 230,78400000,RUA BENEDITO MOREIRA DA SILVA - QD 02 - N. 230,RUA,90
"RUA DA CONSTITUIÇÃO FEDERAL, N. 98, SALA 01",95650000,RUA DA CONSTITUIÇÃO FEDERAL,RUA,66
"PRAÇA CÍVICA, N. 76 - MORADA DO SOL - PRESIDENTE FIGUEIREDO",69735000,PRAÇA CÍVICA,PRAÇA,50
"RUA PRESIDENTE ROOSEVELT, 543-A",13480060,RUA PRESIDENTE ROOSEVELT,RUA,52
"RUA 10 QD W LTES 06/09, SETOR ARAGUAIA",74981100,RUA 10 QD W LTES 06/09,RUA,18
"RUA INTERVENTOR MANOEL RIBAS, PRÓXIMO AO FÓRUM ESTADUAL",85270000,RUA INTERVENTOR MANOEL RIBAS,RUA,19
"RUA JOÃO LEMOS SOBRINHO, 31- ED. FORUM",75960000,RUA JOÃO LEMOS SOBRINHO,RUA,10
"RUA DR. FLÁQUER, 137",9710180,RUA DR. FLÁQUER,RUA,46
"RUA RODRIGO CARVALHO, 990",64760000,RUA RODRIGO CARVALHO,RUA,54
"RUA ODON BEZERRA, 309",58020500,RUA ODON BEZERRA,RUA,14
"RUA CASTELO BRANCO, N 247 - CENTRO",69860000,RUA CASTELO BRANCO,RUA,49
"RUA LIBERATO SALZANO, 146 - SALA 01",99470000,RUA LIBERATO SALZANO,RUA,77
"RUA AUGUSTO DE LIMA, QD 06 LT 03 RESIDENCIAL VIRGINIA CORREA",75080850,RUA AUGUSTO DE LIMA,RUA,17
"RUA 25 DE ABRIL, 226",56250000,RUA 25 DE ABRIL,RUA,34
"RUA ELÍSIO MANOEL DOS SANTOS, 437",86360000,RUA ELÍSIO MANOEL DOS SANTOS,RUA,48
"RUA MONTEIRO LOBATO, S/N",47700000,RUA MONTEIRO LOBATO,RUA,77
"RUA JOSÉ TAVARES DE SÁ, 51",56120000,RUA JOSÉ TAVARES DE SÁ,RUA,37
"RUA 10, QUADRA W,  LOTES 06/09, SETOR ARAGUAIA",74981100,RUA 10,RUA,20
"RUA BALTAZAR SALDANHA, 1591",79904204,RUA BALTAZAR SALDANHA,RUA,67
"RUA PAULINO AQUINO, 204",98170000,RUA PAULINO AQUINO,RUA,28
"RUA REGENTE FEIJÓ, S/N - 3 AND. - SALA 303 -  PALÁCIO DA JUSTIÇA",13013900,RUA REGENTE FEIJÓ,RUA,74
"PRAÇA DA MAÇONARIA, S/N",18040295,PRAÇA DA MAÇONARIA,PRAÇA,12
"RUA ITABAIANA, 580",49015110,RUA ITABAIANA,RUA,75
"RUA DEP. GRACIANO ALMEIDA, N. 10, BAIXA VERDE",68430000,RUA DEP. GRACIANO ALMEIDA,RUA,90
RUA TEODORICO TELES NETO S/N,63125220,RUA TEODORICO TELES NETO S/N,RUA,92
RODOVIA PB 055 - LOTEAMENTO OLIVEIRO PEREIRA DE LUCENA,58213000,RODOVIA PB 055 - LOTEAMENTO OLIVEIRO PEREIRA DE LUCENA,RODOVIA,29
"RUA TIRADENTES, 474",78195000,RUA TIRADENTES,RUA,88
"RUA 09, 783 - 8H AS 13H",68530000,RUA 09,RUA,19
"RUA DR. WALDEMAR BERARDINELLI, 86",12308340,RUA DR. WALDEMAR BERARDINELLI,RUA,40
RUA GABRIEL DE LIMA S/N,49520000,RUA GABRIEL DE LIMA S/N,RUA,78
"RUA LUIZ RIBEIRO, S/N",64795000,RUA LUIZ RIBEIRO,RUA,19
"ROD. LÚCIO PRADO, 40 - FÓRUM MONSENHOR ALBERTO BRAGANÇA DE AZEVEDO",49960000,ROD. LÚCIO PRADO,RODOVIA,83
"RUA DUQUE DE CAXIAS, 277",18130150,RUA DUQUE DE CAXIAS,RUA,99
"RUA SÃO JOSÉ, 940",13400333,RUA SÃO JOSÉ,RUA,100
"RUA MANILIO GOBBI, 287- ESQUINA COM CORREIOS",19700000,RUA MANILIO GOBBI,RUA,87
"PRAÇA GETÚLIO VARGAS, 89/97 - ANTIGO FÓRUM",28610175,PRAÇA GETÚLIO VARGAS,PRAÇA,12
"RUA GENERAL OSÓRIO, 366 - SALA 114",98360000,RUA GENERAL OSÓRIO,RUA,93
"RUA BENJAMIN CONSTANT, 99",78180000,RUA BENJAMIN CONSTANT,RUA,5
"RUA DR. LUIZ GOMES, 100",46350000,RUA DR. LUIZ GOMES,RUA,93
"RUA EXPEDICIONÁRIO AMARILIO, S/N",85170000,RUA EXPEDICIONÁRIO AMARILIO,RUA,29
"RUA ZECA LOLÓ,160, MALVINAS",64860000,RUA ZECA LOLÓ,RUA,65
"RUA PINTO SILVA, 194, 8H AS 14H",68590000,RUA PINTO SILVA,RUA,93
"RUA CÁCERES, 350",78350000,RUA CÁCERES,RUA,84
"RUA NOVE DE JULHO, 816",16400110,RUA NOVE DE JULHO,RUA,53
"RUA JOÃO MILTON FAGUNDES , S/N",85160000,RUA JOÃO MILTON FAGUNDES ,RUA,57
RUA DR. SALES N 97,55490000,RUA DR. SALES N 97,RUA,56
"RUA ISRAEL AZAMBUJA, 415",96470000,RUA ISRAEL AZAMBUJA,RUA,85
RUA TAQUAREMBÓ S/N- 2 ANDAR (REGIONAL DE CAMPO GRANDE),23070140,RUA TAQUAREMBÓ S/N- 2 ANDAR (REGIONAL DE CAMPO GRANDE),RUA,51
"PRAÇA CAPITÃO JOAQUIM ANACLETO, 206",37860000,PRAÇA CAPITÃO JOAQUIM ANACLETO,PRAÇA,52
"RUA A, QD 16,  LT 02, SETOR GINASIAL",77370000,RUA A,RUA,42
"RUA BARÃO DO RIO BRANCO, 347",19570000,RUA BARÃO DO RIO BRANCO,RUA,16
"RUA FLORENCIO TABOSA, S/N",62665000,RUA FLORENCIO TABOSA,RUA,36
"RUA DR. JOAQUIM INACIO, 130",59800000,RUA DR. JOAQUIM INACIO,RUA,64
"RUA ALENCAR JOSE PIMENTA 55, SALA 11",39750000,RUA ALENCAR JOSE PIMENTA 55,RUA,91
"RUA PRUDENTE DE MORAIS, 118",84600000,RUA PRUDENTE DE MORAIS,RUA,79
"RUA JOÃO CIPRIANO, 409, LJ 02",29920000,RUA JOÃO CIPRIANO,RUA,46
"RUA VIAMÃO, N. 049.",94824300,RUA VIAMÃO,RUA,19
RUA DA INDEPENDENCIA - SN- FORUM PROF. ROGERIO GORDILHO DE FARIAS,48950000,RUA DA INDEPENDENCIA - SN- FORUM PROF. ROGERIO GORDILHO DE FARIAS,RUA,91
"RUA DOS BANDEIRANTES, 103",13201130,RUA DOS BANDEIRANTES,RUA,45
"PRAÇA MOISÉS FÉLIX DOS SANTOS, 145, CENTRO",45157000,PRAÇA MOISÉS FÉLIX DOS SANTOS,PRAÇA,4
"RUA COMENDADOR LAFETÁ, N. 778",39340000,RUA COMENDADOR LAFETÁ,RUA,66
"RUA ANTENOR NAVARRO, S/N",58253000,RUA ANTENOR NAVARRO,RUA,96
"RUA MANOEL PORTUGAL, 156 - EDIFÍCIO DO FORUM - SALA 04",27460000,RUA MANOEL PORTUGAL,RUA,30
"PRAÇA MARECHAL FLORIANO PEIXOTO, 337",57150000,PRAÇA MARECHAL FLORIANO PEIXOTO,PRAÇA,63
"RUA JOSE DESIDÉRIO FERNANDES, 995",15300000,RUA JOSE DESIDÉRIO FERNANDES,RUA,12
"RUA VISCONDE DE SEPETIBA, 987, 3 ANDAR, FUNDOS",24020200,RUA VISCONDE DE SEPETIBA,RUA,5
"RUA REGENTE FEIJÓ, S/N",13013900,RUA REGENTE FEIJÓ,RUA,77
"RUA SERAFIM AGAPITO, 200 - ED DO FORUM",75760000,RUA SERAFIM AGAPITO,RUA,31
"RUA FORTUNATO BARROSO, S/N",62690000,RUA FORTUNATO BARROSO,RUA,40
"RUA ALBANO BURGUER, 45, SALA 03",89580000,RUA ALBANO BURGUER,RUA,96
PRAÇA MANOEL FERNANDES TEIXEIRA N 44,76180000,PRAÇA MANOEL FERNANDES TEIXEIRA N 44,PRAÇA,56
RUA FELICIANO SODRE 153 - 2 ANDAR,24440440,RUA FELICIANO SODRE 153 - 2 ANDAR,RUA,19
"RUA SIDÔNIO PAIS, 54 - LOJA 4",21350032,RUA SIDÔNIO PAIS,RUA,91
"RUA ALOISIO ACIOLY LEITE, 500",49130000,RUA ALOISIO ACIOLY LEITE,RUA,91
"RUA SÃO JOSÉ, N 09, CENTRO, PRÓXIMO AO BANCO DO BRASIL",56950000,RUA SÃO JOSÉ,RUA,23
"PRAÇA FRANCISCO RUBIM, 116 - TÉRREO",37590000,PRAÇA FRANCISCO RUBIM,PRAÇA,12
"RUA DOUTOR MATTA, 169",14240000,RUA DOUTOR MATTA,RUA,73
"PRAÇA GETULIO VARGAS, 89/97",28610175,PRAÇA GETULIO VARGAS,PRAÇA,13
"RUA FILOMENA NUNES, 961",21021380,RUA FILOMENA NUNES,RUA,40
"RUA PRIMEIRO DE MARÇO, 167",79220000,RUA PRIMEIRO DE MARÇO,RUA,64
"PRAÇA DOUTOR GOUVEA, 156-A",37757000,PRAÇA DOUTOR GOUVEA,PRAÇA,71
"RUA MORAES DE CARVALHO, 474",35230000,RUA MORAES DE CARVALHO,RUA,80
"RUA JÚLIO DE CASTILHOS, 60 - TERREO",99010690,RUA JÚLIO DE CASTILHOS,RUA,84
"RUA MUNIZ FREIRE, S/N - FÓRUM MUNIZ FREIRE - 3 ANDAR, CIDADE ALTA (CT)",29015140,RUA MUNIZ FREIRE,RUA,55
"RUA PROFESSOR MANOEL EDMUNDO, S/N",55450000,RUA PROFESSOR MANOEL EDMUNDO,RUA,99
