endereco_tse,cep,Logradouro,Tipo Logradouro,id_bairro
"RUA URANIO, 880 - FORUM ELEITORAL",86800450,RUA URANIO,RUA,41
RUA BARAO DO PIRAI 322,27175000,RUA BARAO DO PIRAI 322,RUA,24
"RUA IRMAO GERALDO, 141 - SALA 401",94020110,RUA IRMAO GERALDO,RUA,62
"RUA SÃO LUCAS, 225",6814310,RUA SÃO LUCAS,RUA,3
"RUA MARIA DE LOURDES SEREJO, S/N",58300660,RUA MARIA DE LOURDES SEREJO,RUA,37
"RUA 24, N. 678, CENTRO",38300078,RUA 24,RUA,9
"RUA DEPUTADO NACIP RAYDAN, 146",39780000,RUA DEPUTADO NACIP RAYDAN,RUA,95
"RUA TENENTE LIRA, 986",98400000,RUA TENENTE LIRA,RUA,55
RUA DAS FLORES N. 60,55515000,RUA DAS FLORES N. 60,RUA,57
"RUA FRANCISCA SENHORINHA CARNEIRO, S/N",15370000,RUA FRANCISCA SENHORINHA CARNEIRO,RUA,93
"RUA SETE DE SETEMBRO, S/N - 8H ÀS 13H",68440000,RUA SETE DE SETEMBRO,RUA,61
"RUA ZEQUINHA DE ARAUJO, 42",38195000,RUA ZEQUINHA DE ARAUJO,RUA,62
"PRAÇA CORONEL JOAQUIM AFONSO RODRIGUES, 144",35547000,PRAÇA CORONEL JOAQUIM AFONSO RODRIGUES,PRAÇA,48
"RUA APOLINÁRIO LOPES DA SILVA, 70 - NOVO FÓRUM DE ARAGARÇAS",76240000,RUA APOLINÁRIO LOPES DA SILVA,RUA,22
"RUA ANTONIO MARTINIANO DA COSTA, S/N",55430000,RUA ANTONIO MARTINIANO DA COSTA,RUA,58
"RUA DR. MANOEL ARAUJO, 67",44660000,RUA DR. MANOEL ARAUJO,RUA,88
RUA JOÃO INÁCIO GARCIA 22,65480000,RUA JOÃO INÁCIO GARCIA 22,RUA,52
"RUA TIRADENTES, N. 536",99260000,RUA TIRADENTES,RUA,40
"RUA D , QD 37 LT 26 E 27  ENTRE AS RUAS 6 E 8 - DAS 0800 AS 1300HS",68515000,RUA D ,RUA,13
RUA SACADURA CABRAL 226 - TERREO,20221161,RUA SACADURA CABRAL 226 - TERREO,RUA,77
"RUA MONSENHOR WALFREDO, 33",58395000,RUA MONSENHOR WALFREDO,RUA,43
RUA DUQUE DE CAXIAS 1151,98803412,RUA DUQUE DE CAXIAS 1151,RUA,1
"RUA ALBERTO TORRES, 114 - EDIFÍCIO DO FÓRUM",26700000,RUA ALBERTO TORRES,RUA,93
"RUA VER. AILDO MENDES DA SILVA, S/N, SAMBURÁ, SÃO GONÇALO AMARANTE-RN",59290000,RUA VER. AILDO MENDES DA SILVA,RUA,75
"RUA BARÃO DO RIO BRANCO, 180, SALA 06",98130000,RUA BARÃO DO RIO BRANCO,RUA,71
"RUA MONTEIRO LOBATO, 4283",76930000,RUA MONTEIRO LOBATO,RUA,12
"RUA TRAJANO JOSÉ DA SILVA, 386",38810000,RUA TRAJANO JOSÉ DA SILVA,RUA,84
RUA JAIR DA CUNHA ANDRADE 57,55865000,RUA JAIR DA CUNHA ANDRADE 57,RUA,2
"RUA DOM PEDRO II, 300",68600000,RUA DOM PEDRO II,RUA,79
"PRAÇA LAURO DE FREITAS - 237, CENTRO",46470000,PRAÇA LAURO DE FREITAS - 237,PRAÇA,70
"PRAÇA ERMEZINDO MENDES , NÚMERO 08, CENTRO",44420000,PRAÇA ERMEZINDO MENDES ,PRAÇA,50
"TRAVESSA PIRAJÁ, S/N - 8H AS 13H",66087490,TRAVESSA PIRAJÁ,TRAVESSA,72
"RUA LIBÉRIO AUGUSTO GUIMARÃES, 301 - CENTRO - FONE 31 3624 2933",33805050,RUA LIBÉRIO AUGUSTO GUIMARÃES,RUA,81
"TRAVESSA RAIMUNDO DE MELO, 174",59535000,TRAVESSA RAIMUNDO DE MELO,TRAVESSA,60
"RUA SÃO PAULO, 50 - BAIRRO BRASIL",13301380,RUA SÃO PAULO,RUA,38
"RUA CASTELO BRANCO, 1168 - ESQ. C/ RUA GETÚLIO VARGAS",77950000,RUA CASTELO BRANCO,RUA,33
"RUA JOAQUIM NABUCO, S/N",53600000,RUA JOAQUIM NABUCO,RUA,91
"RUA PEDRO SANTOS ESTIMA, 87",56850000,RUA PEDRO SANTOS ESTIMA,RUA,83
"RUA SETE DE SETEMBRO, S/N",35606000,RUA SETE DE SETEMBRO,RUA,28
"RUA DOS BANDEIRANTES, 103",13201130,RUA DOS BANDEIRANTES,RUA,46
RUA MANOEL HERCULANO DA CRUZ N 466,58865000,RUA MANOEL HERCULANO DA CRUZ N 466,RUA,38
"RUA BOM PASTOR, 2204",4203002,RUA BOM PASTOR,RUA,81
"RUA 11 C/ RUA 6, QD.APM3, LT.AREA1",75355000,RUA 11 C/ RUA 6,RUA,81
"RUA FRANCISCO ARCANJO DE SOUZA MELO, S/N",35960000,RUA FRANCISCO ARCANJO DE SOUZA MELO,RUA,94
"RUA ANTÔNIO DO VALLE MELO, 1332",13170011,RUA ANTÔNIO DO VALLE MELO,RUA,15
"PRAÇA NOSSA SENHORA DA CONCEIÇÃO, N 55",55480000,PRAÇA NOSSA SENHORA DA CONCEIÇÃO,PRAÇA,98
"RUA BARROSO, SN, OSMAR FREIRE",69435000,RUA BARROSO,RUA,43
"RUA COUTO VALE, 465",69425000,RUA COUTO VALE,RUA,26
"RUA MAJOR DIOGO RIBEIRO, 375",85530000,RUA MAJOR DIOGO RIBEIRO,RUA,68
"RUA TEREZINHA PEIXOTO, 3471",69100000,RUA TEREZINHA PEIXOTO,RUA,37
"RUA MAJOR PINHEIRO FRANCO, 13",8710220,RUA MAJOR PINHEIRO FRANCO,RUA,70
"RUA DR. CHEQUER SAUD, QD.01, LT.01",75200000,RUA DR. CHEQUER SAUD,RUA,64
"RUA BENEDITO CIRILO, 220, FÓRUM ELEITORAL",86840000,RUA BENEDITO CIRILO,RUA,81
"RUA ERNESTINA CASTRO LANHOSO, ESQUINA R LIBÓRIO DE PAULA MILLÉO, S/N",84320000,RUA ERNESTINA CASTRO LANHOSO,RUA,43
"RUA ANTONIO EVARISTO DOS SANTOS, N 01",44990000,RUA ANTONIO EVARISTO DOS SANTOS,RUA,98
"RUA ALMIRANTE ERNESTO DE MELO JÚNIOR, 135",59575000,RUA ALMIRANTE ERNESTO DE MELO JÚNIOR,RUA,53
"RUA DO VARADOURO, 531",57900000,RUA DO VARADOURO,RUA,65
RUA 05 ESQ COM AV. BAHIA S/N,73860000,RUA 05 ESQ COM AV. BAHIA S/N,RUA,72
"RUA XV DE NOVEMBRO, 809",15490000,RUA XV DE NOVEMBRO,RUA,89
"RUA VIGARIO NICOLAU, 247",35600000,RUA VIGARIO NICOLAU,RUA,20
"RUA VIGARIO JOAO BATISTA, 14 - EDIFICIO DO FORUM",28380000,RUA VIGARIO JOAO BATISTA,RUA,97
RUA ANTONIO BARRETO - 25,48180000,RUA ANTONIO BARRETO - 25,RUA,19
RUA RUA D QD 37 LT 26-27,68515000,RUA RUA D QD 37 LT 26-27,RUA,12
"RUA CEL. MARIO ANTUNES DA VEIGA, 202 - SALA 201",94410030,RUA CEL. MARIO ANTUNES DA VEIGA,RUA,33
"RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180",79037106,RUA DELEGADO JOSÉ ALFREDO HARDMAN,RUA,51
"RUA FERNANDO CORREA DA COSTA, 253",78700100,RUA FERNANDO CORREA DA COSTA,RUA,1
"RUA VER. MANOEL TENÓRIO DE BRITO, 457",19600000,RUA VER. MANOEL TENÓRIO DE BRITO,RUA,15
"RUA MARTINS TEIXEIRA, 1310",62540000,RUA MARTINS TEIXEIRA,RUA,71
"RUA DOS BANDEIRANTES, S/N",48900000,RUA DOS BANDEIRANTES,RUA,40
"RUA CÔNEGO FIRMINO CAVALCANTE, 920 - CENTRO",58388000,RUA CÔNEGO FIRMINO CAVALCANTE,RUA,84
"RUA ALFREDO TERCEIRO, 484",63870000,RUA ALFREDO TERCEIRO,RUA,79
"RUA TRISTÃO AARÃO COUY, 185, SALA 02",39690000,RUA TRISTÃO AARÃO COUY,RUA,22
"RUA DR. MÁRCIO DA MATA BIANCO, 52-25 - EDIFÍCIO DO FÓRUM",15350000,RUA DR. MÁRCIO DA MATA BIANCO,RUA,51
"RUA SÃO BENEDITO, 199",28200000,RUA SÃO BENEDITO,RUA,23
RUA VISCONDE DE SANTA ISABEL 34 - 3. ANDAR,20560120,RUA VISCONDE DE SANTA ISABEL 34 - 3. ANDAR,RUA,66
"RUA 545, N. 495",76980000,RUA 545,RUA,11
"RUA BAHIA, 67",11510070,RUA BAHIA,RUA,96
